Producent,Nazwa,Moc,Pasmo,Protokół,Kanały,Wentylator,Mocowanie,Złącze,Kolor główny,Kolor dodatkowy,Sygnalizacja,Zdjęcie,Zdjęcie2,Zdjęcie3,Wygeneruj konfigurację,Strona producenta,Instrukcja,Dodatkowo:,"{bd, h}",{h},col23,col24,col25,col26,col27
FT,VTX SMA,4W,1.2G,IRC Tramp,9Ch,Wbudowany,20x20,SMA,Czarny,Metaliczny,Diody LED,pic/ft_vtx_sma_3_pic1.webp,pic/ft_vtx_sma_3_pic2.webp,,,https://ft.systems/product/videoperedavach-vtx-ft-1-2/,manuals/FT_VTX_1.2-GHZ___old_v3_4.pdf,,,,,,,,
FT,VTX,4W,3.3G,IRC Tramp,16Ch,Wbudowany,20x20,MMCX,Czarny,Biały,Diody LED,pic/ft_vtx_4w_4_pic1.webp,pic/ft_vtx_4w_4_pic2.webp,,,,manuals/FT_VTX_3.3-GHZ___old_v3_4.pdf,,,,,,,,
FT,VTX SMA,4W,3.3G,IRC Tramp,16Ch,Wbudowany,20x20,SMA,Czarny,Biały,Diody LED,pic/ft_vtx_sma_4_pic1.webp,pic/ft_vtx_sma_4_pic2.webp,,,https://ft.systems/product/videoperedavach-vtx-ft-3-3/,manuals/FT_VTX_3.3-GHZ___old_v3_4.pdf,,,,,,,,
FT,VTX 7.2G SMA,3W,7G +,IRC Tramp,64Ch,Wbudowany,20x20,SMA,Czarny,Khaki,Diody LED,pic/ft_vtx_7.2g_sma_pic1.webp,pic/ft_vtx_7.2g_sma_pic2.webp,pic/ft_vtx_7.2g_sma_pic3.webp,,https://ft.systems/product/videoperedavach-vtx-ft-7-2/,,,,,,,,,
FlytoFPV ,F1-72,1.6W,"5.8G, 4.9G, 6.1G",IRC Tramp,72Ch,Brak,Brak,MMCX,Czarny,Czarny,Diody LED,pic/flytofpv_f1-72_pic1.webp,,pic/flytofpv_f1-72_pic3.webp,,,,Obsługuje dowolne wprowadzanie częstotliwości w paśmie 4867-6100 MHz,Dowolne częstotliwości,,,,,,
FlytoFPV ,F2-72,3W,"5.8G, 4.9G, 6.1G",IRC Tramp,72Ch,Wbudowany,30.5x30.5,MMCX,Czarny,Czarny,Diody LED,pic/flytofpv_f2-72_pic1.webp,pic/flytofpv_f2-72_pic2.webp,pic/flytofpv_f2-72_pic3.webp,,,,Obsługuje dowolne wprowadzanie częstotliwości w paśmie 4867-6100 MHz,Dowolne częstotliwości,,,,,,
FlytoFPV ,MAX SOLO,3W,5.8G,IRC Tramp,48Ch,Wbudowany,Brak,MMCX,Czarny,Metaliczny,Diody LED,pic/flytofpv_max_solo_pic1.webp,pic/flytofpv_max_solo_pic2.webp,,,,,,,,,,,,
FlytoFPV ,F8,4.5W,3.3G,IRC Tramp,64Ch,Zdejmowany,30.5x30.5,SMA,Czarny,Biały,Diody LED,pic/flytofpv_f8_pic1.webp,pic/flytofpv_f8_pic2.webp,pic/flytofpv_f8_pic3.webp,,,,Obsługuje dowolne wprowadzanie częstotliwości w paśmie 3060-3500 MHz,Dowolne częstotliwości,,,,,,
FlytoFPV ,F9,6W,1.7G,IRC Tramp,8Ch,Zdejmowany,30.5x30.5,SMA,Czarny,Biały,Diody LED,pic/flytofpv_f9_pic1.webp,pic/flytofpv_f9_pic2.webp,pic/flytofpv_f9_pic3.webp,,,,Obsługuje dowolne wprowadzanie częstotliwości w paśmie 1680-1960 MHz,Dowolne częstotliwości,,,,,,
FlytoFPV ,F10,4.5W,2.2G,IRC Tramp,8Ch,Zdejmowany,30.5x30.5,SMA,Czarny,Biały,Diody LED,pic/flytofpv_f10_pic1.webp,pic/flytofpv_f10_pic2.webp,pic/flytofpv_f10_pic3.webp,,,,Obsługuje dowolne wprowadzanie częstotliwości w paśmie 2000-2280 MHz,Dowolne częstotliwości,,,,,,
